Gene ID,Gene Name,Score(d),Fold Change,q-value(%)
g3420,ENSG00000005238.15,122.2,5.366,0
g4776,ENSG00000256950.2,122.2,4.222,0
g1356,ENSG00000226642.1,122.15,6.845,0
g6277,ENSG00000109065.7,122.15,7.759,0
g5417,ENSG00000249240.2,122.1,2736119017.198,0
g2861,ENSG00000106341.6,122.05,6.979,0
g2301,ENSG00000120314.14,121.95,3.279,0
g2621,ENSG00000096384.15,121.9,2.592,0
g6760,ENSG00000128626.7,121.75,18.489,0
g4188,ENSG00000172613.3,121.7,3.124,0
g5489,ENSG00000172349.12,121.65,5.955,0
g7357,ENSG00000213857.3,121.65,4.981,0
g3961,ENSG00000175348.6,121.55,2.833,0
g5893,ENSG00000141480.13,121.5,2.994,0
g119,ENSG00000117616.13,121.35,3.755,0
g4168,ENSG00000087365.10,121.35,3.58,0
g7134,ENSG00000171700.9,121.25,34.006,0
g5075,ENSG00000258928.1,121.15,24.273,0
g6697,ENSG00000105671.7,121.15,3283335759.664,0
g5955,ENSG00000263620.1,121.1,4.58,0
g7343,ENSG00000243811.3,121.1,3.54,0
g3732,ENSG00000197746.9,121.05,2.271,0
g3169,ENSG00000133874.1,121,13.061,0
g2981,ENSG00000166508.13,120.9,9.102,0
g3929,ENSG00000130598.11,120.85,10.625,0
g4647,ENSG00000257557.1,120.85,1065983155.836,0
g6990,ENSG00000100994.7,120.85,14.89,0
g4734,ENSG00000257452.1,120.8,4.977,0
g2542,ENSG00000213654.5,120.5,5.037,0
g3918,ENSG00000185885.11,120.5,2.813,0
g2402,ENSG00000169223.10,120.3,7.716,0
g3994,ENSG00000166788.5,120.3,1096621408.725,0
g6845,ENSG00000269469.1,120.3,1822596217.396,0
g26,ENSG00000198912.6,120.25,4.656,0
g4100,ENSG00000149541.5,120.2,20.618,0
g4198,ENSG00000110719.5,120.05,8.252,0
g4044,ENSG00000255197.1,120,4.244,0
g5592,ENSG00000184602.5,120,4.308,0
g7582,ENSG00000134590.9,119.95,5.862,0
g3932,ENSG00000064201.11,119.9,12.085,0
g6490,ENSG00000099817.7,119.85,7.833,0
g6534,ENSG00000125734.9,119.85,4.911,0
g4185,ENSG00000175482.4,119.7,7.52,0
g6502,ENSG00000167476.6,119.7,1.653,0
g7022,ENSG00000272897.1,119.65,10.943,0
g2988,ENSG00000121716.14,119.6,2.529,0
g6073,ENSG00000108270.6,119.6,9.846,0
g2378,ENSG00000072786.8,119.55,2.946,0
g4447,ENSG00000258449.1,119.55,14.458,0
g6575,ENSG00000105401.2,119.55,4.118,0
g6636,ENSG00000123143.8,119.5,21.595,0
g6298,ENSG00000132471.7,119.3,8.142,0
g6414,ENSG00000262477.1,119.25,4.133,0
g4186,ENSG00000256514.1,119.15,6.038,0
g7304,ENSG00000100292.12,119.15,39.61,0
g237,ENSG00000213172.3,119.1,18.677,0
g5666,ENSG00000149923.9,118.9,7.225,0
g5250,ENSG00000258666.1,118.85,2.521,0
g6523,ENSG00000130254.7,118.8,9.745,0
g6814,ENSG00000125753.9,118.8,3.305,0
g1500,ENSG00000272104.1,118.75,4.31,0
g7318,ENSG00000100055.16,118.75,3.299,0
g492,ENSG00000163346.12,118.7,1063380759.136,0
g4773,ENSG00000139725.3,118.7,4.221,0
g4340,ENSG00000109971.9,118.6,2.62,0
g4747,ENSG00000088992.13,118.35,12.919,0
g5854,ENSG00000141002.14,118.35,5.456,0
g6822,ENSG00000134830.3,118.3,12.811,0
g6901,ENSG00000187116.9,118.3,2.673,0
g7058,ENSG00000168734.9,118.3,7.176,0
g1094,ENSG00000136710.5,118.2,6.177,0
g1297,ENSG00000115053.11,118.2,5.28,0
g6313,ENSG00000129657.10,118.2,3.654,0
g3587,ENSG00000136819.10,118.1,3.55,0
g5882,ENSG00000262884.1,118.1,947750033.526,0
g7555,ENSG00000125354.18,118.1,2.904,0
g1632,ENSG00000163902.7,118,3.716,0
g5575,ENSG00000089486.12,118,17.228,0
g2778,ENSG00000233893.1,117.95,4.41,0
