Gene_Id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000179950.9,87.50476100388,3.74740933999537,0.463204274265532,8.09018730653413,5.95730487174414e-16,4.12254068786381e-14
ENSG00000106546.8,1460.92277155164,-3.86999116121979,0.47864732719019,-8.08526641930261,6.20284516579096e-16,4.23254525726799e-14
ENSG00000133639.3,1456.46492821053,-2.71068896989134,0.335263951001525,-8.08523839736953,6.20427155915154e-16,4.23254525726799e-14
ENSG00000269881.1,106.591528120219,5.53399799068594,0.684785026091693,8.08136536260204,6.40456111208632e-16,4.33841361529284e-14
ENSG00000159216.14,374.720218905864,-3.97260176813173,0.493178709818126,-8.05509582844066,7.94165649278347e-16,5.34201355273316e-14
ENSG00000113811.6,1509.81708874957,-2.05319320062433,0.25507312769166,-8.04942966436783,8.31807449070111e-16,5.55635823097597e-14
ENSG00000147687.12,278.309292802593,-2.5606491159498,0.318256133034824,-8.04587516203376,8.56312493496433e-16,5.68059991375323e-14
ENSG00000258732.1,49.1605853098876,5.57560710301298,0.693090762238819,8.04455549948852,8.65590260224979e-16,5.70281692678361e-14
ENSG00000222328.1,278.462042228541,-3.93724659626356,0.489652019144567,-8.04090750640019,8.91755518703551e-16,5.83523560163909e-14
ENSG00000013364.14,815.954658830545,4.5491039493954,0.56669414691755,8.02744121170051,9.95266345218423e-16,6.46855876665947e-14
ENSG00000176788.7,193.223238300561,-3.82542886990873,0.476618306083463,-8.02618955478987,1.00546825347222e-15,6.491006127617e-14
ENSG00000260212.1,171.867109272105,-5.11438165318861,0.639044340758647,-8.00317180982626,1.21254568591593e-15,7.77565130188356e-14
ENSG00000116691.6,63.0250073087199,5.2113334469651,0.651618443198652,7.99752293901291,1.26947130143159e-15,8.08678440296056e-14
ENSG00000250302.1,46.1998926431159,-5.65977865280519,0.707815412657141,-7.99612236692948,1.28398778352458e-15,8.12544637481769e-14
ENSG00000223001.1,77.0374232914844,-4.15858396260913,0.520317506425456,-7.99239677937862,1.32340303889753e-15,8.32013975892504e-14
ENSG00000114784.3,927.838555832901,-2.34333384757639,0.293435603766287,-7.9858538551538,1.39552940262318e-15,8.66038537021446e-14
ENSG00000112715.16,144.567550926136,-5.93862958977686,0.743639186818391,-7.98590189307381,1.39498599863438e-15,8.66038537021446e-14
ENSG00000231459.1,63.8191736032528,-5.73942650324612,0.720474930724423,-7.96617100538841,1.63666420854648e-15,1.00917134756465e-13
ENSG00000259342.1,247.170455260024,-4.91657796824912,0.617843371362899,-7.9576446007726,1.75345145470204e-15,1.07429614922159e-13
ENSG00000185022.7,180.296545604489,-5.14780736048844,0.649547399599982,-7.92522202946031,2.27739045445327e-15,1.3864695431257e-13
ENSG00000130522.4,593.48022392972,-2.87964965493638,0.363972763219183,-7.9117174303569,2.53862084336964e-15,1.5357857793945e-13
ENSG00000152784.11,52.9919309589879,-5.30793450345753,0.671136255666037,-7.90887760666412,2.59719796981776e-15,1.56140295447982e-13
ENSG00000158615.8,1931.33543280044,-2.52293553923167,0.319210078645265,-7.90368383711149,2.70779314822994e-15,1.61778026663502e-13
ENSG00000115828.11,307.483392800669,-5.85085900680932,0.740490614115103,-7.90132770798342,2.75948088666466e-15,1.63848436103873e-13
ENSG00000127084.13,353.748938516392,4.37711037046255,0.554507106106303,7.8936957205079,2.9336691411817e-15,1.73122475270103e-13
